tweet,date,city,user_location,place,coordinates,id,link
"No demoran en salir a decir que esto es xenofobia 🙄
https://t.co/sDo4cb9gBT",2020-11-08 16:36:34,Bogota,🌎,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0033dd9e171e1cef', url='https://api.twitter.com/1.1/geo/id/0033dd9e171e1cef.json', place_type='city', name='Funza', full_name='Funza, Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.2610809965092, 4.67857799769644], [-74.1652949977219, 4.67857799769644], [-74.1652949977219, 4.77602700152563], [-74.2610809965092, 4.77602700152563]]]), attributes={})",,1325477320984031233,https://twitter.com/i/web/status/1325477320984031233
Yo después de soñar con Claudia Lopez .. https://t.co/rvw6hwrLV8,2020-11-08 16:32:35,Bogota,Bogotá.,,,1325476321150066691,https://twitter.com/i/web/status/1325476321150066691
"@simangeo ....Duque es un Baboso y un Pele con lo de el Covid-19 ese y su ""Distanciamiento Social"" Pendejo lo Mismo que la Bruta esa de la Claudia López. Pero Aún asi Respeto y Admiro en Cierto Punto más a Uribe o Hasta el Neoliberal de Mockus Incluso...!!!",2020-11-08 16:29:16,Bogota,"Bogota, Colombia",,,1325475487255322630,https://twitter.com/i/web/status/1325475487255322630
"Claudia López hablando de populismo autoritario y haciendo el Transmilenio que prometió no hacer.

🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡 https://t.co/WyMDBEsPG7",2020-11-08 16:06:46,Bogota,Chía,,,1325469822403170305,https://twitter.com/i/web/status/1325469822403170305
"La alcaldía de Claudia López ya tiene firmado el cupo de endeudamiento de Bogotá por $10,7 billones; recursos con los que se dará paso a una serie de alivios económicos para personas y empresas  https://t.co/BCm6x7NQVl",2020-11-08 16:05:37,Bogota,"Bogotá, Colombia",,,1325469533738577920,https://twitter.com/i/web/status/1325469533738577920
"Epidemiólogos respaldan eliminar pruebas PCR para viajeros, a pesar de las críticas de Claudia López https://t.co/TUwBLINSgY a través de @avanzar colombia",2020-11-08 16:02:35,Bogota,Bogotá - Colombia,,,1325468768299069440,https://twitter.com/i/web/status/1325468768299069440
"No es como dice la ""ecléctica"" @NanyPardo:

Votaron contra Trump, no a favor de Biden. No romanticen al Fajardo gringo y a la versión afro de Claudia López. 

Tocaba derrotar al populismo reaccionario de Trump, no idealizar al neoliberalismo progresista del partido demócrata. https://t.co/p2qJohkmNV",2020-11-08 16:02:11,Bogota,Bogotá Colombia,,,1325468670173323270,https://twitter.com/i/web/status/1325468670173323270
"¿A Claudia López le gusta echarle la culpa a los demás?  

La alcaldesa, en diálogo con EL TIEMPO, habló sobre las críticas que desde algunos sectores le hacen sobre su actitud frente a los problemas. 
➡️ https://t.co/ZxJGSINWWy https://t.co/hxNu2uMDrz",2020-11-08 16:00:00,Bogota,"Bogotá, Colombia",,,1325468119423397894,https://twitter.com/i/web/status/1325468119423397894
"EN COLOMBIA EL CENTRO Y LOS VERDES, SON UNA FARSA ""Esta es la Policia que dirige Claudia López. Pronto saldrá Angélica Lozano a decir que fue culpa de Petro. En serio, en Colombia el centro es una farsa."" https://t.co/sdubC888vR",2020-11-08 15:51:29,Bogota,"Santa Marta, Colombia","Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1325465977090416640,https://twitter.com/i/web/status/1325465977090416640
"Claudia Lopez trabaja para conseguirle la presidencia a su partido (ella misma?)....

Es una encantadora de idiotas https://t.co/ixBibPuwoq",2020-11-08 15:15:19,Bogota,Bogota,,,1325456876260249600,https://twitter.com/i/web/status/1325456876260249600
